,fields used by students to decide on the labels,,,,,,dropdown list definitions,
http://n2t.net/ark:/65665/30126e3f2-f5f5-4859-a033-d81d21ef5813,Entomology,,"United States, Massachusetts, Barnstable",Barnstable,"Animalia, Arthropoda, Insecta, Lepidoptera, Euteliidae, Euteliinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3014597df-df9f-4d33-931f-84f0cbfbcb2a,Entomology,,"United States, Florida, Alachua",Gainesville,"Animalia, Arthropoda, Insecta, Lepidoptera, Euteliidae, Euteliinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300860177-b900-4360-82c2-db2156a29115,Entomology,,"Panama, [Not Stated], [Not Stated]",Trinidad River,"Animalia, Arthropoda, Insecta, Lepidoptera, Gelechiidae, Anomologinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30144cfa0-9d1d-494a-80b3-ee7fc8311e94,Entomology,,"United Kingdom, British Virgin Islands, [Not Stated], Virgin Islands, Guana Island","Guana Island, Club","Animalia, Arthropoda, Insecta, Lepidoptera, Gelechiidae, Gelechiinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3008f0ca3-5d89-439a-8800-ed80256ca49e,Entomology,,"France, New Caledonia, [Not Stated]",Mandjelia,"Animalia, Arthropoda, Insecta, Lepidoptera, Geometridae, Ennominae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300e2573b-91fe-4117-b5c5-6cc6f7378b1d,Entomology,,"United States, Utah, Washington",St. George,"Animalia, Arthropoda, Insecta, Lepidoptera, Geometridae, Ennominae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3012e3266-26f5-40a9-a5d2-66471e24a1b4,Entomology,,"United States, Massachusetts, Dukes",Tisbury: Makonikey,"Animalia, Arthropoda, Insecta, Lepidoptera, Geometridae, Ennominae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3002f6e77-dc31-4893-9a3e-ea35677faaff,Entomology,,"United States, Oregon, Harney",Steens Mountains,"Animalia, Arthropoda, Insecta, Lepidoptera, Geometridae, Larentiinae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/30034d2b9-5d2b-4344-948b-1682d9a1490b,Entomology,,"United States, Tennessee, Sevier","Cove Forest pull-off, near Chimneys","Animalia, Arthropoda, Insecta, Lepidoptera, Geometridae, Larentiinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30045cdc8-6aaf-41a7-a9e5-cb4dbfc5566f,Entomology,,"United States, North Carolina, Swain","Lakeview Drive, Quietway Trail, first turnout","Animalia, Arthropoda, Insecta, Lepidoptera, Glyphidoceridae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300447a9d-94ed-42c3-90ac-a61f7cca964e,Entomology,,"United States, California, San Bernardino",San Bernardino Mountains,"Animalia, Arthropoda, Insecta, Lepidoptera, Gracillariidae, Gracillariinae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/3012e81d0-6933-46b8-8ae8-b8b4120c867f,Entomology,,"Costa Rica, Cartago, [Not Stated]","Cerro de la Muerte, Villa Mills","Animalia, Arthropoda, Insecta, Lepidoptera, Gracillariidae, Phyllocnistinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300b4ffa8-7934-4ccd-b99a-0951384a83e1,Entomology,,"Uganda, Western, [Not Stated]","Kibale Forest, Toro","Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300cd487a-cb86-47aa-8616-8ef5335de6df,Entomology,,"Brazil, Espirito Santo, [Not Stated]",Linhares,"Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30134b4cc-a01c-497e-ba02-6e4c11b69a50,Entomology,,"United States, Tennessee, Sevier","Wears Valley, Foothills Parkway","Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3013ab339-e2a3-463b-96d8-a10e0627a8ba,Entomology,,"United States, Connecticut, Hartford",[Not Stated],"Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3004a4366-9bab-46d9-a2fa-bd170b1420cc,Entomology,,"United States, Massachusetts, Dukes, Martha's Vineyard","West Tisbury, Makonikey","Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae, Heliothinae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/300184680-c2fc-431e-be29-e3af01457781,Entomology,,"Mexico, Chiapas, [Not Stated]",San Cristobal las Casas,"Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae, Noctuinae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/300347204-7284-41c2-8fea-ed1b024c2348,Entomology,,"United Kingdom, British Virgin Islands, [Not Stated], Virgin Islands, Guana Island",Guana Island,"Animalia, Arthropoda, Insecta, Lepidoptera, Noctuidae, Oncocnemidinae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/300943651-d7e8-48c3-8626-b08a12a21305,Entomology,,"United States, Florida, Pinellas",Saint Petersburg,"Animalia, Arthropoda, Insecta, Lepidoptera, Notodontidae, Phalerinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30141f788-02a0-4502-a68e-940e82e921a9,Entomology,,"United States, Mississippi, Hancock",McLeod Park,"Animalia, Arthropoda, Insecta, Lepidoptera, Psychidae, Oiketicinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3004875b1-0d9f-41f0-a478-0ab88df57d61,Entomology,,"Venezuela, Amazonas, [Not Stated]","Cerro de la Neblina, Basecamp","Animalia, Arthropoda, Insecta, Lepidoptera, Pyralidae, Chrysauginae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3008858fd-984a-4caf-a4a6-f362d21ad244,Entomology,,"Trinidad and Tobago, [Not Stated], [Not Stated]",Trinidad,"Animalia, Arthropoda, Insecta, Lepidoptera, Pyralidae, Phycitinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30010095f-475e-4c53-ae65-be54a4603268,Entomology,,"United States, Florida, Highlands","Archbold Biological Station, Lake Placid","Animalia, Arthropoda, Insecta, Lepidoptera, Tortricidae, Olethreutinae","Experiment setting,
Laboratory environment",Subaerial surface environment,"collected in preserve near station, not experimental or laboratory"
http://n2t.net/ark:/65665/300eecf1a-b104-46e9-b75f-9b7997b6cb58,Entomology,,"Taiwan, [Not Stated], Nantou","Mei-feng, 30 km S. Tayuling","Animalia, Arthropoda, Insecta, Lepidoptera, Tortricidae, Olethreutinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30121a752-197c-4618-ac91-e27519bdb9d9,Entomology,,"United States, California, San Francisco","San Francisco, Golden Gate Park","Animalia, Arthropoda, Insecta, Lepidoptera, Tortricidae, Olethreutinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300b18c5a-14e5-4965-9274-254161f5a33f,Entomology,,"Guatemala, Chimaltenango, [Not Stated]","Quisache, Municipio Acatenango","Animalia, Arthropoda, Insecta, Lepidoptera, Tortricidae, Tortricinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300eb80f3-56f1-45e3-a7bc-961d5b44c7ed,Entomology,,"United States, South Dakota, [Not Stated]",Hardy Work Center,"Animalia, Arthropoda, Insecta, Lepidoptera, Yponomeutidae, Yponomeutinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/301211f2a-b2e8-4220-9054-b753ac4d4e2e,Entomology,,"United States, Virginia, Floyd","Chestnut Creek Wetlands Natural Area Preserve, 0.5 km W. jet Co. Rt. 771 and 772, 4 km SE Willis","Animalia, Arthropoda, Insecta, Mecoptera, Bittacidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300e92d21-ffa3-4428-a485-2f825d7f4f97,Entomology,,"Chile, Valdivia, [Not Stated]",36 km W. La Union,"Animalia, Arthropoda, Insecta, Mecoptera, Nannochoristidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3011a4ea5-d2d3-4e76-bb6e-523a85506db6,Entomology,,"Peru, Manu, [Not Stated]","Madre de Dios, Manu, Pakitza","Animalia, Arthropoda, Insecta, Neuroptera, Mantispidae, Symphrasinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3000745d7-3acf-4023-8de0-30a94e187672,Entomology,,"New Zealand, Southland, [Not Stated], South Island","Southland, Cascade Stream, Cascade Road, 13 air km NW Riverton","Animalia, Arthropoda, Insecta, Odonata, Anisoptera, Corduliidae, Corduliinae",Subaerial surface environment,Subaerial surface environment,"Odonata is an order of flying insects, must be 'Subaerial surface environment'"
http://n2t.net/ark:/65665/3002bec17-361a-4a54-8ad6-a0a34db4b8fb,Entomology,,"New Zealand, Manawatu-Wanganui, [Not Stated], North Island","TO, Lake Otamangakau, 16 air km WSW Turangi","Animalia, Arthropoda, Insecta, Odonata, Anisoptera, Corduliidae, Corduliinae","Terrestrial water body,
Subaerial surface environment",Subaerial surface environment,
http://n2t.net/ark:/65665/30065ec64-7bd3-4d4e-a937-491aed8887b2,Entomology,,"Vietnam, Ninh Binh, Nho Quan","Cuc Phuong National Park, Lake Mac, Ho Mac","Animalia, Arthropoda, Insecta, Odonata, Anisoptera, Libellulidae, Trameinae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30038ccc0-662b-468b-873b-35ceeec44b2c,Entomology,,"Myanmar, Tanintharyi region","Lenya NP, site I","Animalia, Arthropoda, Insecta, Orthoptera, Gryllidae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/30060487b-b2ca-4f64-b103-8da92f699380,Entomology,,"United States, Nevada, Nye",Toiyabe Range; Peavine Canyon,"Animalia, Arthropoda, Insecta, Siphonaptera, Unidentified",,Subaerial surface environment,
http://n2t.net/ark:/65665/3008f1f6b-3d9b-4a60-bb65-d66fbebfd362,Entomology,Stream,"United States, North Carolina, Macon",Highlands Biological Station,"Animalia, Arthropoda, Insecta, Trichoptera, Limnephilidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30140d2b2-2a84-44b7-9f5e-18cae6cf8b5e,Entomology,,"Japan, Nagano","Kamishiro, Hakuba, Oyomi Wetlands","Animalia, Arthropoda, Insecta, Trichoptera, Phryganeidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3009a0955-4f9f-4bb2-aa1f-4bb4508442d5,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",1-1.4 miles west of Cape Arago,"Animalia, Bryozoa",,Marine water body bottom,
http://n2t.net/ark:/65665/300df3c9f-fc4b-437e-8e81-e3fca7b0be7b,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Fringing reef in from of Gump Station","Animalia, Bryozoa",,Marine water body bottom,
http://n2t.net/ark:/65665/300c200a7-9452-49fc-9a6b-e4f223e32e6c,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County","Cape Arago, North Cove","Animalia, Bryozoa, Gymnolaemata, Cheilostomatida, Bugulidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300be6aab-423f-4cc7-9da0-bfe861fd6a27,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",1-1.4 miles west of Cape Arago,"Animalia, Bryozoa, Stenolaemata, Cyclostomatida",,Marine water body bottom,cyclostome bryozoans are exclusively marine
http://n2t.net/ark:/65665/300b872ca-9dc8-4cae-97f6-2c9c62bc888a,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Gulf Stream off Fort Pierce,"Animalia, Chaetognatha, Sagittoidea",,Marine water body,
http://n2t.net/ark:/65665/3010f619b-99b8-4b7e-a973-fcfc4454777d,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, East of Cook's Bay","Animalia, Chordata, Urochordata, Ascidiacea, Enterogona, Aplousobranchia, Didemnidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3013a7ffb-7c7d-43d2-b4a5-de5233eae985,Invertebrate Zoology,,"North Pacific Ocean, Kalekta Bay, United States, Alaska",South of Cape Kalekta,"Animalia, Chordata, Urochordata, Ascidiacea, Enterogona, Aplousobranchia, Didemnidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3009a6c33-bb2c-4ca0-a5da-760a5a105d94,Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Northampton County","Lower Chesapeake Bay, Cape Charles Beach, just N of fishing pier, along jetty","Animalia, Chordata, Urochordata, Ascidiacea, Pleurogona, Stolidobranchia, Botryllidae",,Marine water body bottom,
http://n2t.net/ark:/65665/301085f09-8e21-41e7-a663-f88e86c3311b,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Chordata, Urochordata, Ascidiacea, Pleurogona, Stolidobranchia, Molgulidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300234943-91d9-4fee-bb85-9a66f3b5db57,Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Northampton County","Oyster, boat ramp","Animalia, Chordata, Urochordata, Ascidiacea, Pleurogona, Stolidobranchia, Styelidae",Marine water body,Marine water body bottom,Urochordata or tunicate are marine bottom dwellers
http://n2t.net/ark:/65665/300814fcc-5e10-4d91-a73d-e1999597c1e7,Amphibians %26 Reptiles,,"Africa, Congo, Lekoumou","Bambama village, near","Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/30085dc83-8869-4fef-af15-ef0ac608df3e,Amphibians %26 Reptiles,,"Africa, Congo, Kouilou, Hinda","Coopérative pour la Rélance de l'Agriculture et l'Elèvage, site d'exploitation agricole (COPRAGEL/Kopoli)","Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300ab9b75-699e-4549-b21a-0287000d535d,Amphibians %26 Reptiles,,"Africa, Congo, Lekoumou",Kissiki field site,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300c51735-48a6-4340-a7ae-4023353a993f,Amphibians %26 Reptiles,,"South America, Trinidad, St. George","Arima, ca. 7 km E of, Wallerfield Road, 1.4-1.5 km E of junction of Churchill Roosevelt Highway and Antigua Road","Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300f6ef52-b15c-43c0-89ac-896a14d7eca1,Amphibians %26 Reptiles,,"Asia, Afghanistan, Kandahar",Kandahar Airfield,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3002165dd-ada4-4d1b-93b8-a54eb32900dd,Amphibians %26 Reptiles,,"Asia, Burma, Tanintharyi Division","Lenya National Park, 1.62 km (airline) south of the junction of a logging road and Ma Noe Lone (stream), small stream at a forest trail","Animalia, Chordata, Vertebrata, Amphibia, Anura, Dicroglossidae",Subaerial surface environment,Subaerial surface environment,Assume that 'Amphibia' and 'Reptilia' are subaerial (at least in part...) to start
http://n2t.net/ark:/65665/3009222ca-e168-4636-90db-db272fc60a6a,Amphibians %26 Reptiles,,"Burma, Tanintharyi, Mergui (Myeik) Archipelago, Thayawthadangyi island group","Daung Kyun (Don Island), cove on the north side of","Animalia, Chordata, Vertebrata, Amphibia, Anura, Dicroglossidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3009e5991-a3dd-45b3-bde4-8872728cf65c,Amphibians %26 Reptiles,,"Africa, Congo, Pool",Mayongongo,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Hyperoliidae",,Subaerial surface environment,"arboreal or terrestrial frogs...  NOTE-- 'Pool' is a province of Congo here, not a body of water...."
http://n2t.net/ark:/65665/300cf31f1-68fa-4a57-88c7-7ce9bff1680f,Amphibians %26 Reptiles,,"Africa, Gabon, Estuaire","Sahoué, ca. 1 mi (airline) E of, near L'Ecole Nationale des Eaux et Forêrets (ENEF) Forestry School","Animalia, Chordata, Vertebrata, Amphibia, Anura, Hyperoliidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300a73fba-95ff-4248-abd8-7b6b4c6b80a0,Amphibians %26 Reptiles,,"Asia, Burma, Magway Division","Shin-Ma-Taung Forest Reserve, Kan Bout village","Animalia, Chordata, Vertebrata, Amphibia, Anura, Microhylidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300042b39-2b9a-4df9-b27f-d47237261659,Amphibians %26 Reptiles,,"Africa, Djibouti, Tadjourah","Day (village), ca. 2 km SE of, vicinity of abandoned lodge, Day Forest National Park","Animalia, Chordata, Vertebrata, Amphibia, Anura, Pyxicephalidae",Subaerial surface environment,Subaerial surface environment,Assume that 'Amphibia' and 'Reptilia' are subaerial (at least in part...) to start
http://n2t.net/ark:/65665/30036bd2a-94c5-4cf5-a5c9-dce9f5d97bd5,Amphibians %26 Reptiles,,"Africa, Djibouti, Tadjourah","Day (village), ca. 2 km from, Day Forest National Park","Animalia, Chordata, Vertebrata, Amphibia, Anura, Pyxicephalidae",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/300aca195-feb1-49fe-a800-3b29f641e355,Amphibians %26 Reptiles,,"Africa, Congo, Likouala","Ganganya Brousse (village), near","Animalia, Chordata, Vertebrata, Amphibia, Anura, Pyxicephalidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300a01e67-1817-4a5e-9acc-4fc0d1f33f9a,Amphibians %26 Reptiles,,"Asia, Burma, Tanintharyi Division","Yeybu village, 6.5 km (air) NE of","Animalia, Chordata, Vertebrata, Amphibia, Anura, Ranidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300dce91e-0dc0-45ec-a366-a0e1eb35daef,Amphibians %26 Reptiles,,"Asia, Burma, Tanintharyi Division","Yeybu village, 8.9 km (air) NE of","Animalia, Chordata, Vertebrata, Amphibia, Anura, Ranidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3011f78b1-c8ba-4dc6-a4c7-59933650f097,Amphibians %26 Reptiles,,"Asia, Burma, Sagaing Division","Chatthin, ca. 2 km WNW of, Chatthin Wildlife Sanctuary, San Myaung camp, Kanbalur Township","Animalia, Chordata, Vertebrata, Amphibia, Anura, Ranidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/3013e225f-513c-4d82-b2aa-4fb8ed8da272,Amphibians %26 Reptiles,,"North America, United States, Virginia, Page","Shenandoah National Park, along Timber Hollow Trail, just NW of Hawksbill Spring","Animalia, Chordata, Vertebrata, Amphibia, Caudata, Plethodontidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300e752b6-6947-4f10-8840-34074b462d7d,Birds,second growth forest,"South America, Guyana",,"Animalia, Chordata, Vertebrata, Aves, Caprimulgiformes, Caprimulgidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3005e6682-83c7-4548-a9ab-3106f9ff3c39,Birds,shoreline,"Africa, Djibouti, Djibouti Region",,"Animalia, Chordata, Vertebrata, Aves, Charadriiformes, Scolopacidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300361d7c-a369-44d7-a6db-ab8d0866106e,Birds,,"Asia, Philippines, Luzon, Cagayan",,"Animalia, Chordata, Vertebrata, Aves, Coraciiformes, Alcedinidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300fad388-0b3e-4e12-8837-07d66c239077,Birds,,"South America, Uruguay, Artigas",,"Animalia, Chordata, Vertebrata, Aves, Cuculiformes, Cuculidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30140687a-f9e4-455b-8739-ed4931f63964,Birds,,"Asia, Pakistan, Jacobabad",,"Animalia, Chordata, Vertebrata, Aves, Falconiformes, Accipitridae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3010b7a31-fc87-41fc-a03a-50f5b52652ed,Birds,river edge,"South America, Guyana",,"Animalia, Chordata, Vertebrata, Aves, Falconiformes, Cathartidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300305c1a-1041-4532-afd6-2ce35b00a6d3,Birds,,"South America, Brazil, Para",,"Animalia, Chordata, Vertebrata, Aves, Galliformes, Cracidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30061e035-0482-4336-9516-b070452e5d5e,Birds,,"North America, United States, Wyoming, Sublette","Bondurant 17.6 mi NE, Tepee Creek Ridge","Animalia, Chordata, Vertebrata, Aves, Galliformes, Phasianidae, Tetraoninae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3007731fa-5601-46ec-90c8-e7c2246f5e56,Birds,riparian scrub,"South America, Guyana",,"Animalia, Chordata, Vertebrata, Aves, Gruiformes, Rallidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30045e154-33a6-4ead-8c68-af04f90c0f37,Birds,urban airfield,"North America, United States, Utah, Salt Lake",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Corvidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300081566-c5c8-42dd-b953-fa00d2504b81,Birds,ridgeline above river in primary forest,"Asia, Malaysia, Borneo, Sarawak",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Dicaeidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300064c10-e25a-440c-8f54-e30447615244,Birds,,"South America, Uruguay, Colonia",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Emberizidae, Emberizinae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3000a439f-7051-4d60-9b20-4899b8785ee3,Birds,,"North America, Panama, Bocas Del Toro",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Emberizidae, Thraupinae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30004d5b2-eeea-4b56-aaf7-750d6badd06e,Birds,cultivated area,"Africa, Tanzania, Iringa, Ludewa",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Estrildidae",Subaerial surface environment,Subaerial surface environment,lets put all birds in subaerial surface environment....
http://n2t.net/ark:/65665/300cd927f-9380-4da4-a173-a71b28709b6b,Birds,brushy savannah,"South America, Guyana",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Formicariidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3009bdd3a-7a12-46af-8bd4-011ab802245b,Birds,,"South America, Uruguay, Soriano",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Furnariidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30104d22a-53d1-43b3-a913-3c94d4375401,Birds,,"South America, Argentina, Entre Rios",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Icteridae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3008e2d22-fd36-4c35-b1bc-2876ebd2f182,Birds,,"Asia, Philippines, Luzon, Cagayan",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Oriolidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300828947-fbcc-4a3e-9e14-31a3bdd8ac83,Birds,,"South America, Guyana",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Parulidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300ad5aa9-8d32-4775-a937-59b81e8ff10f,Birds,Kalahari sandveld savanna,"Africa, Namibia, Omaheke",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Ploceidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300bbdecc-317b-40c6-9960-1f5c1b850850,Birds,,"Africa, Djibouti, Djibouti Region",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Ploceidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3013a7a7b-5f7c-4d27-9446-10e72a34c235,Birds,acacia scrub,"Africa, Djibouti, Djibouti Region",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Ploceidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30066ea6c-3595-474c-ad41-166eeea89190,Birds,,"Asia, Myanmar, Sagaing",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Pycnonotidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3006a0015-8f06-409f-bb3c-09d6b2069af3,Birds,,"Africa, Djibouti, Djibouti Region",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Pycnonotidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300b566d4-207d-4c7a-8408-991c291228ba,Birds,"primary forest, undergrowth","Africa, Gabon, Ogooue Maritime Province",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Pycnonotidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300ef0caa-06c2-4837-a09a-fef1f26e2120,Birds,,"Locality Unknown, Locality Unknown",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sturnidae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3002cf783-17ea-4c80-8e1c-2589ac51139b,Birds,rocky hillside,"Africa, Namibia, Erongo",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sylviidae, Sylviinae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3005fd41c-c0e6-4b10-966a-398ce8eddd6f,Birds,montane forest,"Africa, Tanzania, Tanga, Lushoto",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sylviidae, Sylviinae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300c52b29-72de-4b3d-96f2-a3e64e183c33,Birds,,"Africa, Djibouti, Tadjoura",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sylviidae, Sylviinae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/300f0b865-4989-491b-9ba5-f6bc599b9db9,Birds,riparian,"Africa, Namibia, Karas",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sylviidae, Sylviinae",,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30023d6e6-de57-4ee0-a4e5-af0e6f4b758e,Birds,,"Asia, Myanmar, Sagaing, Kan Blu District (?)",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Timaliidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30033b7a8-5ff5-4753-b7ba-fa30d5ff5729,Birds,,"Asia, Myanmar, Sagaing, Kan Blu District (?)",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Timaliidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/30039e1e2-58f9-40e3-b2b9-b2df0396b684,Birds,understory of primary forest,"Asia, Malaysia, Borneo, Sarawak",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Timaliidae",Subaerial surface environment,Subaerial surface environment,bird --> subaerial surface environment
http://n2t.net/ark:/65665/3005d6ac3-d639-42bb-bafe-458ae4755ea4,Birds,mountain shrub,"North America, United States, Utah, Grand",,"Animalia, Chordata, Vertebrata, Aves, Passeriformes, Turdidae",,Subaerial surface environment,bird --> subaerial surface environment
